timestamp, ax, ay, az, wx, wy, wz, lat, lon, alt_m, travel_r_v
1154,-0.422931,0.486341,-1.018146,0.007330,-0.007330,0.003665,0.00000000000000,0.00000000000000,0.000000,3.256484
1157,-0.423530,0.486341,-1.018146,0.007330,-0.007330,0.003665,0.00000000000000,0.00000000000000,0.000000,3.297582
1172,-0.421137,0.486341,-1.017548,0.007330,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.273407
1174,-0.422931,0.486939,-1.018744,0.006109,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.281465
1177,-0.422931,0.486939,-1.018744,0.006109,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.272601
1179,-0.422931,0.486939,-1.018744,0.006109,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.279854
1194,-0.422931,0.485743,-1.018744,0.006109,-0.006109,0.004887,0.00000000000000,0.00000000000000,0.000000,3.283077
1197,-0.422931,0.485743,-1.018744,0.006109,-0.006109,0.004887,0.00000000000000,0.00000000000000,0.000000,3.271795
1199,-0.422931,0.485743,-1.018744,0.004887,-0.006109,0.003665,0.00000000000000,0.00000000000000,0.000000,3.254872
1202,-0.423530,0.486341,-1.018744,0.004887,-0.006109,0.003665,0.00000000000000,0.00000000000000,0.000000,3.262930
1204,-0.423530,0.486341,-1.018744,0.004887,-0.006109,0.003665,0.00000000000000,0.00000000000000,0.000000,3.263736
1219,-0.421735,0.486341,-1.018146,0.004887,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.275824
1222,-0.421735,0.486341,-1.018146,0.004887,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.276630
1224,-0.421735,0.486341,-1.018146,0.004887,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.271795
1227,-0.421735,0.486341,-1.018146,0.003665,-0.007330,0.004887,0.00000000000000,0.00000000000000,0.000000,3.283077
1241,-0.422333,0.487538,-1.017548,0.006109,-0.007330,0.003665,0.00000000000000,0.00000000000000,0.000000,3.254872
1244,-0.422333,0.487538,-1.017548,0.006109,-0.007330,0.003665,0.00000000000000,0.00000000000000,0.000000,3.256484
1271,-0.422333,0.487538,-1.018146,0.007330,-0.007330,0.003665,0.00000000000000,0.00000000000000,0.000000,3.296777
1273,-0.422931,0.486939,-1.018744,0.008552,-0.007330,0.003665,0.00000000000000,0.00000000000000,0.000000,3.258095
1276,-0.422931,0.486939,-1.018744,0.008552,-0.007330,0.003665,0.00000000000000,0.00000000000000,0.000000,3.274212
1290,-0.422333,0.486341,-1.018146,0.008552,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.295165
1293,-0.422931,0.487538,-1.018146,0.008552,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.291941
1295,-0.422931,0.487538,-1.018146,0.008552,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.279854
1298,-0.422931,0.487538,-1.018146,0.008552,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.279854
1313,-0.422333,0.485145,-1.018744,0.008552,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.289524
1315,-0.422333,0.485145,-1.018744,0.008552,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.271795
1318,-0.422333,0.485145,-1.018744,0.008552,-0.009774,0.003665,0.00000000000000,0.00000000000000,0.000000,3.254066
1320,-0.422931,0.486341,-1.018146,0.008552,-0.009774,0.003665,0.00000000000000,0.00000000000000,0.000000,3.292747
1323,-0.422931,0.486341,-1.018146,0.008552,-0.009774,0.003665,0.00000000000000,0.00000000000000,0.000000,3.269377
1337,-0.423530,0.485743,-1.018744,0.007330,-0.007330,0.003665,0.00000000000000,0.00000000000000,0.000000,3.291136
1340,-0.423530,0.485743,-1.018744,0.007330,-0.007330,0.003665,0.00000000000000,0.00000000000000,0.000000,3.283077
1342,-0.423530,0.485743,-1.018744,0.007330,-0.007330,0.003665,0.00000000000000,0.00000000000000,0.000000,3.286300
1345,-0.423530,0.485743,-1.018744,0.007330,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.258901
1360,-0.422931,0.486341,-1.018744,0.004887,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.257289
1362,-0.422931,0.486341,-1.018744,0.004887,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.286300
1365,-0.423530,0.485145,-1.019342,0.004887,-0.007330,0.004887,0.00000000000000,0.00000000000000,0.000000,3.290329
1367,-0.423530,0.485145,-1.019342,0.004887,-0.007330,0.004887,0.00000000000000,0.00000000000000,0.000000,3.277436
1394,-0.422333,0.486341,-1.019342,0.006109,-0.007330,0.003665,0.00000000000000,0.00000000000000,0.000000,3.258095
1409,-0.422931,0.485145,-1.019941,0.003665,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.269377
1412,-0.422931,0.485743,-1.019342,0.003665,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.269377
1414,-0.422931,0.485743,-1.019342,0.003665,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.294359
1417,-0.422931,0.485743,-1.019342,0.003665,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.283077
1431,-0.422333,0.485743,-1.018146,0.003665,-0.007330,0.004887,0.00000000000000,0.00000000000000,0.000000,3.283077
1434,-0.422333,0.485743,-1.018146,0.003665,-0.007330,0.004887,0.00000000000000,0.00000000000000,0.000000,3.288718
1436,-0.422333,0.485743,-1.018146,0.004887,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.275824
1439,-0.422931,0.486939,-1.019342,0.004887,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.262930
1442,-0.422931,0.486939,-1.019342,0.004887,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.278242
1456,-0.422333,0.486939,-1.019941,0.002443,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.284689
1459,-0.422333,0.486939,-1.019941,0.002443,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.288718
1461,-0.422333,0.486939,-1.019941,0.002443,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.269377
1464,-0.422333,0.486939,-1.018744,0.003665,-0.007330,0.003665,0.00000000000000,0.00000000000000,0.000000,3.262930
1479,-0.421735,0.486939,-1.018744,0.006109,-0.008552,0.002443,0.00000000000000,0.00000000000000,0.000000,3.268571
1481,-0.421735,0.486939,-1.018744,0.006109,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.269377
1484,-0.421735,0.487538,-1.018744,0.006109,-0.007330,0.003665,0.00000000000000,0.00000000000000,0.000000,3.254066
1486,-0.421735,0.487538,-1.018744,0.006109,-0.007330,0.003665,0.00000000000000,0.00000000000000,0.000000,3.289524
1501,-0.423530,0.485743,-1.018744,0.004887,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.285494
1504,-0.423530,0.485743,-1.018744,0.004887,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.291136
1530,-0.422333,0.485743,-1.018146,0.006109,-0.007330,0.004887,0.00000000000000,0.00000000000000,0.000000,3.263736
1533,-0.422333,0.485743,-1.018146,0.006109,-0.007330,0.004887,0.00000000000000,0.00000000000000,0.000000,3.276630
1535,-0.422333,0.485743,-1.018146,0.006109,-0.007330,0.004887,0.00000000000000,0.00000000000000,0.000000,3.268571
1561,-0.422333,0.486939,-1.016950,0.006109,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.256484
1563,-0.422333,0.486939,-1.016950,0.006109,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.284689
1566,-0.421137,0.486341,-1.018146,0.006109,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.275824
1568,-0.421137,0.486341,-1.018146,0.006109,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.275018
1583,-0.423530,0.487538,-1.018744,0.006109,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.290329
1586,-0.423530,0.487538,-1.018744,0.006109,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.250036
1588,-0.423530,0.487538,-1.018744,0.006109,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.294359
1591,-0.423530,0.487538,-1.018744,0.006109,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.276630
1593,-0.422931,0.486341,-1.018146,0.007330,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.273407
1608,-0.422333,0.486341,-1.017548,0.006109,-0.009774,0.004887,0.00000000000000,0.00000000000000,0.000000,3.295971
1611,-0.422333,0.486341,-1.018744,0.006109,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.283077
1613,-0.422333,0.486341,-1.018744,0.006109,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.279048
1616,-0.422333,0.486341,-1.018744,0.006109,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.262930
1630,-0.424128,0.486341,-1.019941,0.007330,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.266154
1633,-0.424128,0.486341,-1.019941,0.007330,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.258901
1635,-0.424128,0.486341,-1.019941,0.007330,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.289524
1638,-0.422931,0.486341,-1.018744,0.004887,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.281465
1712,-0.424128,0.485743,-1.016950,0.001222,-0.007330,0.004887,0.00000000000000,0.00000000000000,0.000000,3.289524
1727,-0.422333,0.486939,-1.017548,0.000000,-0.006109,0.003665,0.00000000000000,0.00000000000000,0.000000,3.250843
1729,-0.422931,0.486939,-1.018146,0.002443,-0.007330,0.004887,0.00000000000000,0.00000000000000,0.000000,3.278242
1732,-0.422931,0.486939,-1.018146,0.002443,-0.007330,0.004887,0.00000000000000,0.00000000000000,0.000000,3.284689
1735,-0.422931,0.486939,-1.018146,0.002443,-0.007330,0.004887,0.00000000000000,0.00000000000000,0.000000,3.263736
1749,-0.422931,0.485743,-1.018744,0.003665,-0.006109,0.004887,0.00000000000000,0.00000000000000,0.000000,3.254872
1752,-0.422931,0.485743,-1.018744,0.003665,-0.006109,0.004887,0.00000000000000,0.00000000000000,0.000000,3.282271
1754,-0.422931,0.485743,-1.018744,0.003665,-0.006109,0.004887,0.00000000000000,0.00000000000000,0.000000,3.254066
1757,-0.422333,0.485743,-1.018146,0.006109,-0.007330,0.004887,0.00000000000000,0.00000000000000,0.000000,3.272601
1760,-0.422333,0.485743,-1.018146,0.006109,-0.007330,0.004887,0.00000000000000,0.00000000000000,0.000000,3.272601
1774,-0.423530,0.486939,-1.018744,0.003665,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.288718
1777,-0.423530,0.486939,-1.018744,0.003665,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.294359
1779,-0.423530,0.486939,-1.018744,0.003665,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.288718
1782,-0.423530,0.486939,-1.018744,0.003665,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.286300
1797,-0.422931,0.485743,-1.018146,0.007330,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.262930
1799,-0.422931,0.485743,-1.018146,0.007330,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.283883
1802,-0.422931,0.486939,-1.018146,0.009774,-0.008552,0.002443,0.00000000000000,0.00000000000000,0.000000,3.294359
1804,-0.422931,0.486939,-1.018146,0.009774,-0.008552,0.002443,0.00000000000000,0.00000000000000,0.000000,3.263736
1807,-0.422931,0.486939,-1.018146,0.009774,-0.008552,0.002443,0.00000000000000,0.00000000000000,0.000000,3.254872
1821,-0.422931,0.486341,-1.019342,0.010996,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.252454
1859,-0.422333,0.486939,-1.017548,0.003665,-0.007330,0.003665,0.00000000000000,0.00000000000000,0.000000,3.258095
1861,-0.422333,0.486939,-1.017548,0.003665,-0.007330,0.003665,0.00000000000000,0.00000000000000,0.000000,3.277436
1864,-0.422333,0.486939,-1.017548,0.003665,-0.007330,0.003665,0.00000000000000,0.00000000000000,0.000000,3.262930
1879,-0.423530,0.486341,-1.019342,0.003665,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.256484
1881,-0.423530,0.486341,-1.019342,0.003665,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.254872
1884,-0.422931,0.486341,-1.017548,0.004887,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.261319
1886,-0.422931,0.486341,-1.017548,0.004887,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.260513
1901,-0.422931,0.486341,-1.018146,0.006109,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.270989
1903,-0.423530,0.485743,-1.018744,0.006109,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.273407
1906,-0.423530,0.485743,-1.018744,0.006109,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.287912
1909,-0.423530,0.485743,-1.018744,0.006109,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.293553
1911,-0.421735,0.486939,-1.017548,0.008552,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.258095
1926,-0.422333,0.486939,-1.019342,0.007330,-0.009774,0.003665,0.00000000000000,0.00000000000000,0.000000,3.289524
1928,-0.422333,0.486939,-1.019342,0.007330,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.291136
1931,-0.422931,0.486341,-1.020539,0.007330,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.258901
1934,-0.422931,0.486341,-1.020539,0.007330,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.252454
1948,-0.422931,0.486939,-1.018146,0.006109,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.266154
1951,-0.422931,0.486939,-1.018146,0.006109,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.266154
1953,-0.422931,0.486939,-1.018146,0.006109,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.271795
1956,-0.422931,0.486939,-1.018146,0.004887,-0.007330,0.003665,0.00000000000000,0.00000000000000,0.000000,3.273407
1982,-0.422931,0.487538,-1.018744,0.002443,-0.006109,0.004887,0.00000000000000,0.00000000000000,0.000000,3.287912
1997,-0.422931,0.486939,-1.018744,0.000000,-0.004887,0.004887,0.00000000000000,0.00000000000000,0.000000,3.291136
2000,-0.422931,0.486939,-1.018744,0.000000,-0.004887,0.004887,0.00000000000000,0.00000000000000,0.000000,3.255678
2002,-0.422931,0.485743,-1.019941,-0.001222,-0.006109,0.003665,0.00000000000000,0.00000000000000,0.000000,3.279854
2005,-0.422931,0.485743,-1.019941,-0.001222,-0.006109,0.003665,0.00000000000000,0.00000000000000,0.000000,3.272601
2020,-0.422333,0.485743,-1.017548,0.001222,-0.007330,0.004887,0.00000000000000,0.00000000000000,0.000000,3.267766
2022,-0.422333,0.486341,-1.018146,0.001222,-0.007330,0.004887,0.00000000000000,0.00000000000000,0.000000,3.285494
2025,-0.422333,0.486341,-1.018146,0.001222,-0.007330,0.004887,0.00000000000000,0.00000000000000,0.000000,3.291136
2027,-0.422333,0.486341,-1.018146,0.001222,-0.007330,0.004887,0.00000000000000,0.00000000000000,0.000000,3.291136
2030,-0.422931,0.486939,-1.018146,0.001222,-0.006109,0.004887,0.00000000000000,0.00000000000000,0.000000,3.281465
2045,-0.422333,0.485743,-1.019342,0.002443,-0.006109,0.004887,0.00000000000000,0.00000000000000,0.000000,3.282271
2047,-0.422333,0.485145,-1.019342,0.004887,-0.006109,0.003665,0.00000000000000,0.00000000000000,0.000000,3.287912
2050,-0.422931,0.485145,-1.019342,0.004887,-0.006109,0.003665,0.00000000000000,0.00000000000000,0.000000,3.282271
2052,-0.422931,0.485145,-1.019342,0.004887,-0.006109,0.003665,0.00000000000000,0.00000000000000,0.000000,3.291941
2067,-0.422931,0.486939,-1.018744,0.002443,-0.007330,0.003665,0.00000000000000,0.00000000000000,0.000000,3.288718
2070,-0.422931,0.486939,-1.018744,0.002443,-0.007330,0.003665,0.00000000000000,0.00000000000000,0.000000,3.288718
2072,-0.422931,0.486939,-1.018744,0.002443,-0.007330,0.003665,0.00000000000000,0.00000000000000,0.000000,3.262930
2075,-0.422931,0.486341,-1.018146,0.002443,-0.006109,0.003665,0.00000000000000,0.00000000000000,0.000000,3.270183
2077,-0.422931,0.486341,-1.018146,0.002443,-0.006109,0.003665,0.00000000000000,0.00000000000000,0.000000,3.295971
2092,-0.424128,0.485743,-1.018146,0.002443,-0.007330,0.006109,0.00000000000000,0.00000000000000,0.000000,3.285494
2118,-0.422931,0.486939,-1.018744,0.007330,-0.007330,0.003665,0.00000000000000,0.00000000000000,0.000000,3.281465
2121,-0.421735,0.487538,-1.018744,0.007330,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.278242
2123,-0.421735,0.487538,-1.018744,0.007330,-0.008552,0.004887,0.00000000000000,0.00000000000000,0.000000,3.294359
2138,-0.424128,0.487538,-1.019342,0.009774,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.291941
2141,-0.422333,0.487538,-1.019941,0.009774,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.287912
2143,-0.422333,0.487538,-1.019941,0.009774,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.279048
2146,-0.422333,0.487538,-1.019941,0.009774,-0.008552,0.003665,0.00000000000000,0.00000000000000,0.000000,3.288718
2161,-0.422931,0.486939,-1.018146,0.010996,-0.009774,0.004887,0.00000000000000,0.00000000000000,0.000000,3.258901
2163,-0.422931,0.486939,-1.018146,0.010996,-0.009774,0.004887,0.00000000000000,0.00000000000000,0.000000,3.258901
